Unity.frameCount	Unity.realtimeSinceStartup	Unity.Head.position.x	Unity.Head.position.y	Unity.Head.position.z	Unity.Head.rotation.euler_x	Unity.Head.rotation.euler_y	Unity.Head.rotation.euler_z	Unity.gazeHit.position.x	Unity.gazeHit.position.y	Unity.gazeHit.position.z	PicoXR.gazeHit.position.x	PicoXR.gazeHit.position.y	PicoXR.gazeHit.position.z	gazeData.leftEyePoseStatus	gazeData.rightEyePoseStatus	gazeData.combinedEyePoseStatus	gazeData.leftEyeGazePoint.x	gazeData.leftEyeGazePoint.y	gazeData.leftEyeGazePoint.z	gazeData.rightEyeGazePoint.x	gazeData.rightEyeGazePoint.y	gazeData.rightEyeGazePoint.z	gazeData.combinedEyeGazePoint.x	gazeData.combinedEyeGazePoint.y	gazeData.combinedEyeGazePoint.z	gazeData.combinedEyeGazePoint.x	gazeData.combinedEyeGazePoint.y	gazeData.combinedEyeGazePoint.z	gazeData.leftEyeOpenness	gazeData.rightEyeOpenness	gazeData.leftEyePupilDilation	gazeData.rightEyePupilDilation	gazeData.leftEyePositionGuide.x	gazeData.leftEyePositionGuide.y	gazeData.leftEyePositionGuide.z	gazeData.rightEyePositionGuide.x	gazeData.rightEyePositionGuide.y	gazeData.rightEyePositionGuide.z	gazeData.foveatedGazeDirection.x	gazeData.foveatedGazeDirection.y	gazeData.foveatedGazeDirection.z	gazeData.foveatedGazeTrackingState
25959	365.6382	0	0	0	0	0	0	-1.341687	-2.492446	8.5	-0.00226697	-0.1120103	0.05	21	21	3	-0.03105471	-0.001479342	-0.02829247	0.02713178	-0.001237835	-0.02552429	-0.01401036	-0.001408598	-0.0274816	-0.01401036	-0.001408598	-0.0274816	1	1	0	0	0.5006031	0.5762771	0.5	0.384307	0.5568931	0.5	-0.002725003	-0.1346416	0.9908906	0
25960	365.6543	0	0	0	0	0	0	-1.34715	-2.489068	8.5	-0.00275511	-0.1114325	0.05	21	21	3	-0.03105119	-0.001481432	-0.02829232	0.02713762	-0.001233611	-0.02554929	-0.01489981	-0.001412645	-0.02753094	-0.01489981	-0.001412645	-0.02753094	1	1	0	0	0.5007153	0.5761238	0.5	0.3843753	0.556794	0.5	-0.003312074	-0.1339593	0.9909813	0
25961	365.6743	0	0	0	0	0	0	-1.359088	-2.507501	8.5	-0.003684943	-0.1133942	0.05	21	21	3	-0.03105119	-0.001481432	-0.02829232	0.02713762	-0.001057918	-0.02621718	-0.01396848	-0.0013571	-0.02768312	-0.01396848	-0.0013571	-0.02768312	1	1	0	0	0.5007162	0.5760226	0.5	0.3830983	0.553459	0.5	-0.004428448	-0.1362736	0.9906613	0
25962	365.6906	0	0	0	0	0	0	-1.532761	-2.557989	8.5	-0.01939502	-0.117312	0.05	21	21	3	-0.03110117	-0.001532809	-0.02822832	0.02699503	-0.001105249	-0.02618197	-0.01351029	-0.001403349	-0.02760871	-0.01351029	-0.001403349	-0.02760871	1	1	0	0	0.4963264	0.5783976	0.5	0.3763368	0.5550613	0.5	-0.02328704	-0.1408531	0.9897566	0
25963	365.7091	0	0	0	0	0	0	-1.490522	-2.491649	8.5	-0.01505106	-0.1145156	0.05	21	21	3	-0.03109577	-0.001254987	-0.02968326	0.02698782	-0.001205183	-0.02581858	-0.004856517	-0.001232488	-0.02793739	-0.004856517	-0.001232488	-0.02793739	1	1	0	0	0.4973041	0.5705193	0.5	0.3768057	0.5579919	0.5	-0.01808177	-0.1375746	0.9903263	0
25964	365.7257	0	0	0	0	0	0	-1.518681	-2.510587	8.5	-0.01425944	-0.1133006	0.05	21	21	3	-0.03109418	-0.001248377	-0.02970532	0.02698894	-0.001208259	-0.02581197	-0.001265498	-0.001227775	-0.02770588	-0.001265498	-0.001227775	-0.02770588	1	1	0	0	0.4974077	0.5697902	0.5	0.3770752	0.558185	0.5	-0.01713446	-0.1361445	0.9905408	0
25965	365.7419	0	0	0	0	0	0	-1.519545	-2.503261	8.5	-0.01365302	-0.1129943	0.05	21	21	3	-0.03109418	-0.001237769	-0.02977062	0.02698894	-0.001210112	-0.02581197	0.0001782351	-0.001222878	-0.02763925	0.0001782351	-0.001222878	-0.02763925	1	1	0	0	0.4975224	0.5694331	0.5	0.3771189	0.5581843	0.5	-0.0164068	-0.1357849	0.9906025	0
25966	365.7574	0	0	0	0	0	0	-1.498612	-2.505476	8.5	-0.01271256	-0.1131561	0.05	21	21	3	-0.03109423	-0.001237533	-0.0297704	0.02698916	-0.001210489	-0.02581627	-0.002301158	-0.001224127	-0.02781026	-0.002301158	-0.001224127	-0.02781026	1	1	0	0	0.4978977	0.5695643	0.5	0.3770887	0.5581521	0.5	-0.01527651	-0.1359782	0.990594	0
25967	365.7743	0	0	0	0	0	0	-1.500466	-2.502331	8.5	-0.01408163	-0.1128677	0.05	21	21	3	-0.03109418	-0.001237298	-0.02977045	0.02698894	-0.001210112	-0.02582058	-0.006138803	-0.001225617	-0.02807339	-0.006138803	-0.001225617	-0.02807339	1	1	0	0	0.4975214	0.5695181	0.5	0.3771021	0.5581186	0.5	-0.01692205	-0.1356344	0.9906145	0
25968	365.79	0	0	0	0	0	0	-1.480205	-2.504369	8.5	-0.01445399	-0.1131626	0.05	21	21	3	-0.03109418	-0.001237298	-0.02977045	0.02698938	-0.001210865	-0.02581523	-0.01340164	-0.001229246	-0.02856567	-0.01340164	-0.001229246	-0.02856567	1	1	0	0	0.4975199	0.5696867	0.5	0.3772643	0.5580676	0.5	-0.01736855	-0.1359812	0.9905592	0
